model,label,precision,recall,f1-score,support
kNN,dog,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0
kNN,rain,0.6666666666666666,1.0,0.8,12.0
kNN,crying_baby,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
kNN,clock_tick,0.75,0.25,0.375,12.0
kNN,accuracy,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666
kNN,macro avg,0.7481060606060606,0.7291666666666667,0.6963264895330112,48.0
kNN,weighted avg,0.7481060606060606,0.7291666666666666,0.6963264895330114,48.0
RBF-SVM,dog,0.9230769230769231,1.0,0.96,12.0
RBF-SVM,rain,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
RBF-SVM,crying_baby,0.9230769230769231,1.0,0.96,12.0
RBF-SVM,clock_tick,0.875,0.5833333333333334,0.7,12.0
RBF-SVM,accuracy,0.875,0.875,0.875,0.875
RBF-SVM,macro avg,0.8767170329670331,0.875,0.8665384615384615,48.0
RBF-SVM,weighted avg,0.8767170329670328,0.875,0.8665384615384615,48.0
