k,mean_cv_accuracy,std_cv_accuracy
1,0.7320158102766798,0.09403958682758487
2,0.7225296442687748,0.09853398996946643
3,0.749802371541502,0.04689419747024159
4,0.7766798418972332,0.08749384830505395
5,0.7407114624505928,0.08646465271052285
6,0.7316205533596838,0.07464393128292726
7,0.7498023715415021,0.07129540797397302
8,0.7498023715415021,0.04537026040247191
9,0.7316205533596838,0.05046921644114584
10,0.7225296442687746,0.054376205310587185
11,0.7043478260869565,0.050934493944419026
12,0.7047430830039525,0.048692058796630834
13,0.6956521739130433,0.05584184351762645
14,0.7047430830039525,0.048692058796630834
15,0.6960474308300395,0.0532116230120045
16,0.6956521739130433,0.04787342902336685
17,0.6691699604743082,0.038719041569196685
18,0.6600790513833992,0.039997187796596084
19,0.6687747035573122,0.04200894942477918
20,0.6513833992094862,0.022965753432939044
